comfortabel: comfortable  
dromen: to dream  
hechten: to attach  
interesseren: to interest  
de klasgenoot: the classmate  
lui: lazy  
de maatschappij: the society  
onafhankelijk: independent  
de patiënt: the patient  
de prioriteit: the priority  
de promotie: the promotion  
realistisch: realistic  
vanwege: because of  
verklaren: to explain  
de verpleegkunde: the nursing  
de verpleegkundige: the nurse  
verwennen: to spoil  
de voldoening: the satisfaction  
de waarde: the value  
zekerheid: the certainty  
zelden: rarely  
zo meteen: shortly  
zorgzaam: caring  
de ambtenaar: the civil servant  
daarentegen: on the other hand  
dansen: to dance  
de discotheek: the disco  
het huiswerk: the homework  
de jeugd: the childhood  
de klus: the chore  
de lerares: the female teacher  
meehelpen: to help  
onredelijk: unreasonable  
opstaan: to get up  
opvoeden: to raise (a child)  
het rapport: the report card  
rechtvaardig: fair  
roddelen: to gossip  
het snoep: the sweets  
het speelgoed: the toys  
de straf: the punishment  
terugdenken: to think back  
de tiener: the teenager  
het uitje: the outing  
de verantwoordelijkheid: the responsibility  
verzorgd: well-groomed  
het vuil: the dirt  
zich bemoeien: to be involved  
aankomend: coming  
afstuderen: to graduate  
blijkbaar: apparently  
boeken: to book  
chic (chique): chic  
de emotie: the emotion  
emotioneel: emotional  
geïrriteerd: irritated  
de mededeling: the announcement  
menen: to mean  
nogmaals: again  
onzeker: unsure  
opgelucht: relieved  
optimistisch: optimistic  
sensationeel: sensational  
starten: to start  
het tentamen: the exam  
toen: when  
trillen: to shake  
trots: proud  
de tweeling: the twins  
verloofd: engaged  
de verrassing: the surprise  
zakken: to fail (an exam)  
aanhebben: to wear  
accepteren: to accept  
fel: bright  
het geslacht: the gender  
de hak: the heel  
hip: hip  
hoewel: although  
de hoofddoek: the headscarf  
de identiteit: the identity  
de make-up: the make-up  
de moslima: the Muslim woman  
opvallend: striking  
de pet: the cap  
de rok: the skirt  
het sieraad: the (piece of) jewellery  
de sneaker: the sneaker  
de snor: the moustache  
de stijl: the style  
strak: tight  
de tatoeage: the tattoo  
de trend: the trend  
verplichten: to make mandatory  
vrouwelijk: feminine  
wijd: wide  
zich kleden: to dress  
het aanbod: the offer  
afgelegen: remote  
de bouwmarkt: the DIY store  
Duitsland: Germany  
het eind: a long way  
de grens: the border  
de grond: the ground  
het hert: the deer  
de hoek: the corner  
de horeca: the hotels restaurants and cafés  
landelijk: rural  
langsgaan: to visit  
onlangs: recently  
de optie: the option  
het platteland: the countryside  
de polder: the polder  
de Randstad: the Randstad (metropolitan region)  
sinds: since  
de spits: the rush hour  
het spoor: the train tracks  
de stedentrip: the city trip  
het theater: the theatre  
de voorziening: the facility  
het warenhuis: the department store  
het afscheid: the goodbye  
de architect: the architect  
het behang: the wallpaper  
beige: beige  
het bestand: the file  
gekleurd: coloured  
het gordijn: the curtain  
het gras: the grass  
hecht: close-knit  
de inrichting: the design  
intussen: in the meantime  
het kussen: the pillow  
levendig: lively  
de nieuwbouw: the new buildings  
ontwerpen: to design  
de plant: the plant  
het plein: the square  
ruim: large  
het tapijt: the carpet  
uitkiezen: to choose  
vanuit: from  
de villa: the villa  
het vliegveld: the airport  
waanzinnig: amazingly  
aansluiten: to connect  
af: finished  
afronden: to complete  
het blad: the leaf  
de boormachine: the drill  
de dakgoot: the gutter  
de draad: the wire  
het gereedschap: the tools  
installeren: to install  
de kabel: the cable  
het kozijn: the window frame  
de ladder: the ladder  
de meterkast: the meter box  
het plafond: the ceiling  
de rookmelder: the smoke detector  
de schroef: the screw  
de schroevendraaier: the screwdriver  
het snoer: the cord  
de tang: the pliers  
de tegel: the tile  
uitschakelen: to switch off  
vastmaken: to attach  
verlengen: to extend  
het verstand: the knowledge  
verven: to paint  
de achtergrond: the background  
het asiel: the asylum  
bijkomen: to recuperate  
het conflict: the conflict  
het continent: the continent  
het diagram: the diagram  
dichtbevolkt: densely populated  
doordat: because  
economisch: economic  
het gebied: the area  
gelijk: equally  
de groei: the growth  
de hoogopgeleide: the highly educated person  
inburgeren: to integrate  
jaarlijks: annually  
krimpen: to shrink  
de migratie: the migration  
het motief: the motive  
overigens: by the way  
politiek: political  
relatief: relatively  
religieus: religious  
de samenleving: the society  
de vergelijking: the comparison  
de vergrijzing: the ageing  
vluchten: to flee  
zich vestigen: to settle  
aannemen: to accept  
alleen: however  
alsof: as if  
alvast: already  
amper: hardly any  
de bank: the bank  
glad: slippery  
heftig: bad  
de inbraak: the burglary  
inmiddels: by now  
de kok: the cook  
mistig: foggy  
de motor: the motorcycle  
pardon: excuse me  
de rijles: the driving lesson  
de schoonfamilie: the in-laws  
de schuur: the barn  
stoer: cool  
tenminste: at least  
de troep: the mess  
uit eten: (to go) out to eat  
uitslapen: to sleep in  
vasthouden: to hold  
verliezen: to lose  
voorzichtig: careful  
aanleren: to teach  
afruimen: to clear  
het bad: the bath  
bakken: to bake  
het bestek: the cutlery  
het blaadje: the piece of paper  
het compliment: the compliment  
de discussie: the discussion  
helder: clear  
herhalen: to repeat  
inpakken: to pack  
kortom: in short  
de lunch: the lunch  
meerdere: multiple  
negeren: to ignore  
de regelmaat: the regularity  
slaan: to hit  
smeren: to make (a sandwich)  
de steun: the support  
de structuur: the structure  
de toestemming: the permission  
uiterlijk: at the latest  
vermoeid: tired  
het zelfvertrouwen: the self-confidence  
zich ergeren: to be irritated  
de begraafplaats: the cemetery  
de begrafenis: the funeral  
bidden: to pray  
condoleren: to offer one's condolences  
de crematie: the cremation  
het diner: the dinner  
favoriet: favourite  
fit: fit  
het graf: the grave  
het hapje: the snack  
de kerkdienst: the (church) service  
de kist: the casket  
het koor: the choir  
het liedje: the song  
men: people  
ontroerend: touching  
overmorgen: the day after tomorrow  
plaatsvinden: to take place  
het ritueel: the ritual  
somber: gloomy  
sterven: to die  
troosten: to comfort  
de uitvaart: the funeral  
het verdriet: the sadness  
zingen: to sing  
aanmoedigen: to encourage  
het avontuur: the adventure  
balen: to be sad  
de chocola: the chocolate  
discussiëren: to have a discussion  
eindeloos: endlessly  
de excursie: the excursion  
extreem: extreme  
het geheim: the secret  
geruststellen: to reassure  
de gitaar: the guitar  
de kroeg: the pub  
liefs: love  
de overeenkomst: the similarity  
de psychologie: the psychology  
de rechten: the law  
steunen: to support  
stiekem: secretly  
sympathiek: sympathetic  
verdwalen: to get lost  
verlegen: shy  
volwassen: adult  
waarderen: to appreciate  
wensen: to wish  
zodra: as soon as  
het akkoord: the agreement  
de arbeidsvoorwaarden: the working conditions  
de cao: the collective labour agreement  
de communicatie: the communication  
het contract: the contract  
doorgroeien: to grow  
de Europeaan: the European  
de indicatie: the indication  
de inkomsten: the income  
de loonsverhoging: the wage increase  
de masteropleiding: the master's programme  
netto: net  
onderhandelen: to negotiate  
ongemakkelijk: uncomfortable  
redden: to rescue  
de salarisschaal: the salary scale  
de strategie: the strategy  
tegenvallen: to be a disappointment  
uitvoeren: to execute  
de vakantiedag: the day off  
de verdeling: the division  
voorkomen: to occur  
het voorstel: the proposal  
willekeurig: random  
de zzp'er: the self-employed person  
de administratie: the administration  
afrekenen: to pay  
het briefje: the bill  
de fooi: the tip  
het gedoe: the fuss  
gênant: embarrassing  
het goede doel: the charity  
het kleingeld: the change  
de koek: the cookie  
los: loose  
het middel: the means  
de munt: the coin  
naïef: naive  
ouderwets: old-fashioned  
overmaken: to transfer  
de portemonnee: the wallet  
het saldo: the balance  
de technologie: the technology  
